Date,Close/Last,Volume,Open,High,Low
09/11/2020,$121.645,63692680,$124.855,$126.525,$118.9575
09/10/2020,$123.1175,69868440,$129.8925,$130.6525,$121.67
09/09/2020,$127.15,73619840,$124,$128.0925,$122.3175
09/08/2020,$119.13,79572960,$117.345,$125.5,$117.0425
09/04/2020,$126.225,146368280,$127.8375,$131.75,$117.0475
09/03/2020,$130.155,94512600,$138.2863,$138.845,$128.7875
09/02/2020,$143.465,87401280,$147.0375,$147.2675,$139
09/01/2020,$138.21,51247400,$134.8,$139.9375,$134.365
08/31/2020,$133.745,50084120,$131.8278,$135.75,$130.3775
08/28/2020,$131.4775,53715840,$126.7493,$131.48,$126.425
08/27/2020,$126.2825,31760292,$127.815,$128.5,$125.6643
08/26/2020,$127.73,32124292,$127.9924,$128.6849,$126.7775
08/25/2020,$127.5,28907680,$126.3075,$127.6125,$125.7375
08/24/2020,$127.2025,49056440,$128.8375,$129.125,$125.075
08/21/2020,$126.835,99986960,$122.0175,$128.087,$121.9516
08/20/2020,$121.41,92138640,$119.75,$123.75,$118.7875
08/19/2020,$121.385,62262240,$122.965,$123.15,$120.98
08/18/2020,$122.6075,50344640,$124.5,$124.96,$120.8625
08/17/2020,$123.37,62130080,$118.5125,$124.0975,$118.1719
08/14/2020,$115.64,36643616,$115.3,$117.0475,$114.405
08/13/2020,$114.43,37445956,$115.46,$117.2175,$113.5575
08/12/2020,$114.4025,46494280,$109.9075,$114.67,$109.5825
08/11/2020,$108.5,35451052,$110.7375,$111.3675,$107.9575
08/10/2020,$111.65,42779600,$113.3425,$114.0825,$108.565
08/07/2020,$111.995,34251596,$113.125,$115.0475,$110.375
08/06/2020,$113.355,24431568,$113.4975,$113.58,$111.7875
08/05/2020,$112.8675,25049972,$112.44,$113.7168,$111.6625
08/04/2020,$112.2775,31033560,$110.5,$112.2775,$109.06
08/03/2020,$110.1025,41301840,$107.325,$110.9875,$107.1525
07/31/2020,$106.1475,38628600,$105.6325,$107.665,$104.33
07/30/2020,$106.14,30888016,$103.75,$106.2305,$102.9525
07/29/2020,$104.655,28450768,$103.908,$105.1625,$103.47
07/28/2020,$102.155,27163604,$103.7425,$103.82,$102.0925
07/27/2020,$104.215,29213020,$102.3225,$104.4175,$102.1775
07/24/2020,$101.945,47329200,$98.75,$103.6475,$97.77
07/23/2020,$101.2975,41166120,$104.5,$105.47,$100.3125
07/22/2020,$104.3875,36729084,$103.675,$106.025,$102.9156
07/21/2020,$103.285,27766684,$105.13,$105.5993,$102.8675
07/20/2020,$105.1075,28485084,$102.7425,$105.3125,$101.5675
07/17/2020,$102.015,26628464,$102.255,$102.485,$100.8775
07/16/2020,$101.3475,34496472,$100.15,$102.0675,$98.955
07/15/2020,$102.2725,40398480,$104.1425,$104.33,$100.5575
07/14/2020,$103.77,54267440,$100.75,$104.0275,$97.855
07/13/2020,$100.5225,45707480,$105.95,$107.9225,$100.25
07/10/2020,$104.7925,49767480,$105.8875,$106.5525,$103.7875
07/09/2020,$105.09,49454720,$103.8025,$105.7,$102.335
07/08/2020,$102.16,36548052,$99.9375,$102.25,$99.655
07/07/2020,$98.7175,35779972,$99.4625,$100.7,$98.5075
07/06/2020,$98.3925,31589372,$97.4175,$99.0875,$97.125
07/02/2020,$96.1225,36405408,$96.39,$97.375,$95.7825
07/01/2020,$95.3,32664680,$95.2075,$95.7567,$94.13
06/30/2020,$94.9775,36789200,$93.1399,$95.2625,$92.665
06/29/2020,$92,34224812,$91.6975,$92.045,$89
06/26/2020,$91.55,59208560,$95,$95,$91.25
06/25/2020,$94.9,37607200,$93.5575,$95.05,$91.8225
06/24/2020,$92.355,44937080,$94.7625,$95.5638,$91.445
06/23/2020,$94.5,37510740,$95.51,$96.425,$94.075
06/22/2020,$95.2675,39846648,$93,$95.3125,$92.733
06/19/2020,$92.6125,52416040,$92.425,$94.45,$92.2734
06/18/2020,$92.18,25440952,$92.27,$92.825,$91.145
06/17/2020,$92.36,40830560,$91.1375,$92.99,$90.7025
06/16/2020,$90.685,53571520,$92.25,$92.6675,$88.3875
06/15/2020,$91.7375,40000200,$88.1525,$91.8225,$87.4375
06/12/2020,$89.325,57090800,$91.625,$91.8725,$87.0335
06/11/2020,$87.9625,58365040,$91.5,$92.6125,$87.86
06/10/2020,$93.6675,63218160,$91.6775,$95,$91.535
06/09/2020,$90.46,46848880,$88,$91.0975,$87.5125
06/08/2020,$88.05,38773724,$88.7725,$88.8962,$86.8575
06/05/2020,$89.2,48174600,$87.945,$89.97,$87.0798
06/04/2020,$87.665,42427840,$87.28,$89.4325,$86.775
06/03/2020,$87.695,36543888,$88.2225,$88.6625,$87
06/02/2020,$88.2525,39132056,$87.9625,$88.3725,$86.58
06/01/2020,$88.0625,39051100,$88.3325,$88.4075,$86.895
05/29/2020,$88.755,74591960,$85.545,$88.755,$84.85
05/28/2020,$84.87,73612800,$84.1225,$87.605,$83.7925
05/27/2020,$85.2525,117589240,$86.25,$86.3275,$79.9675
05/26/2020,$87.1775,77077920,$91.5675,$91.8175,$86.72
05/22/2020,$90.2625,103876520,$88.2525,$90.93,$87.1325
05/21/2020,$87.7525,76106960,$90.515,$90.5241,$87.375
05/20/2020,$89.7,58753640,$89.91,$90.43,$88.8875
05/19/2020,$88.055,71732200,$87.9025,$90.875,$87.6275
05/18/2020,$87.5025,77640360,$87.605,$89.165,$86.805
05/15/2020,$84.9075,98766160,$78.8975,$85.005,$78.74
05/14/2020,$80.305,60231240,$78.4163,$80.36,$76.875
05/13/2020,$77.8,62585000,$79.175,$80.785,$75.9475
05/12/2020,$78.025,49305920,$81.235,$81.725,$77.9275
05/11/2020,$80.655,46906000,$78.075,$81.125,$77.7875
05/08/2020,$78.125,33990712,$76.9375,$78.1875,$76.5975
05/07/2020,$76.2175,37373052,$75.845,$76.8525,$75.3307
05/06/2020,$74.4475,32346556,$74.2325,$75.5,$73.8525
05/05/2020,$73.435,36889564,$73.8675,$75.0675,$72.8225
05/04/2020,$72.8213,31755520,$70.22,$72.96,$70.22
